suburb,postcode,state
abbotsford,3067,VIC
aberfeldie,3040,VIC
airport west,3042,VIC
albanvale,3021,VIC
albert park,3206,VIC
albion,3020,VIC
alphington,3078,VIC
altona,3018,VIC
altona meadows,3028,VIC
altona north,3025,VIC
ardeer,3022,VIC
armadale,3143,VIC
ascot vale,3032,VIC
ashburton,3147,VIC
ashwood,3147,VIC
aspendale,3195,VIC
aspendale gardens,3195,VIC
attwood,3049,VIC
avondale heights,3034,VIC
balaclava,3183,VIC
balwyn,3103,VIC
balwyn north,3104,VIC
bangholme,3175,VIC
bayswater,3153,VIC
bayswater north,3153,VIC
beaumaris,3193,VIC
belgrave,3160,VIC
belgrave heights,3160,VIC
bellfield,3081,VIC
bellfield,3381,VIC
bentleigh,3204,VIC
bentleigh east,3165,VIC
berwick,3806,VIC
black rock,3193,VIC
blackburn,3130,VIC
blackburn north,3130,VIC
blackburn south,3130,VIC
bonbeach,3196,VIC
boronia,3155,VIC
box hill,3128,VIC
box hill north,3129,VIC
box hill south,3128,VIC
briar hill,3088,VIC
brighton,3186,VIC
brighton east,3187,VIC
broadmeadows,3047,VIC
brooklyn,3012,VIC
brunswick,3056,VIC
brunswick east,3057,VIC
brunswick west,3055,VIC
bulleen,3105,VIC
bundoora,3083,VIC
burnley,3121,VIC
burnside,3023,VIC
burnside heights,3023,VIC
burwood,3125,VIC
burwood east,3151,VIC
cairnlea,3023,VIC
camberwell,3124,VIC
campbellfield,3061,VIC
canterbury,3126,VIC
carlton,3053,VIC
carlton north,3054,VIC
carnegie,3163,VIC
caroline springs,3023,VIC
carrum,3197,VIC
carrum downs,3201,VIC
caulfield,3162,VIC
caulfield east,3145,VIC
caulfield north,3161,VIC
caulfield south,3162,VIC
chadstone,3148,VIC
chelsea,3196,VIC
chelsea heights,3196,VIC
cheltenham,3192,VIC
clarinda,3169,VIC
clayton,3168,VIC
clayton south,3169,VIC
clematis,3782,VIC
clifton hill,3068,VIC
coburg,3058,VIC
coburg north,3058,VIC
collingwood,3066,VIC
coolaroo,3048,VIC
craigieburn,3064,VIC
cranbourne,3977,VIC
cranbourne north,3977,VIC
cremorne,3121,VIC
croydon,3136,VIC
croydon hills,3136,VIC
croydon north,3136,VIC
croydon south,3136,VIC
dallas,3047,VIC
dandenong,3175,VIC
dandenong north,3175,VIC
dandenong south,3175,VIC
deer park,3023,VIC
delahey,3037,VIC
